courseId,chapterId,lessonId,topicId,topicTitle,videoUrl,description,order
course_1,ch_1_01,les_1_01_01,topic_1_01_01_1,Entering the Battlefield – QMS Basics & SOP Gap Review,https://www.youtube.com/watch?v=rAfeJBhGwYQ,"Unlock the essentials of Quality Management Systems (QMS) and discover how to identify and fix SOP gaps. This video provides quick, practical insights to boost your organization’s quality and compliance. Perfect for beginners and quality professionals!",1
course_1,ch_1_01,les_1_01_02,topic_1_01_02_1,Control the Arsenal – Document Versioning & Register Mastery,https://www.youtube.com/watch?v=-WWk8gdnqCc,"Master the art of document control with this guide on versioning and register management. Learn how to keep your records accurate, up-to-date, and audit-ready, ensuring your organization stays compliant and efficient. Perfect for anyone managing quality or regulatory documents!",1
course_1,ch_1_01,les_1_01_03,topic_1_01_03_1,Spot the Breach – Deviation Detection & Rapid Reporting,https://www.youtube.com/watch?v=JvIG72rXh6Y,"Quickly identify deviations and learn rapid reporting techniques to protect your organization’s quality standards. This video covers practical methods to spot breaches early and streamline incident reporting, helping you maintain compliance and prevent bigger issues. Ideal for quality teams and process owners!",1
course_1,ch_1_01,les_1_01_04,topic_1_01_04_1,Strike Back – Root Cause Analysis & CAPA Drafting,https://www.youtube.com/watch?v=f_-7oeQJJi0,"Learn how to tackle problems head-on with effective Root Cause Analysis and CAPA drafting. This video shows you how to uncover the real issues behind deviations and create strong corrective and preventive action plans, keeping your quality system robust and proactive. Perfect for professionals aiming to drive continual improvement",1
course_1,ch_1_01,les_1_01_05,topic_1_01_05_1,First Combat Drill – Internal Audit & Document Inspection Simulation,https://www.youtube.com/watch?v=9mNaAf98Ce8,"Step into your first quality combat drill with an engaging simulation of internal audits and document inspections. This video guides you through practical techniques for auditing and reviewing documents, helping you build confidence and sharpen your skills for real-world compliance challenges. Ideal for beginners and aspiring auditors!",1
course_1,ch_1_01,les_1_01_06,topic_1_01_06_1,Defend the Lab – OOS/OOT Identification & First-line Investigation,https://www.youtube.com/watch?v=rj0NVCIxpKc,"Strengthen your lab’s defenses by mastering OOS (Out of Specification) and OOT (Out of Trend) identification and first-line investigations. This video teaches you how to spot unusual results quickly and initiate effective preliminary actions, safeguarding data integrity and compliance. Perfect for analysts and lab supervisors!",1
course_1,ch_1_01,les_1_01_07,topic_1_01_07_1,Guard the Data – ALCOA+ & Data Integrity Auditing,https://www.youtube.com/watch?v=oBztDkHzpWY,"Learn how to protect your organization’s data with ALCOA+ principles and data integrity auditing. This video explains the pillars of data integrity—Attributable, Legible, Contemporaneous, Original, Accurate, plus additional criteria—and provides practical tips for effective audits. Essential viewing for lab professionals and quality managers!",1
course_1,ch_1_01,les_1_01_08,topic_1_01_08_1,Full-Scale Operation – Deviation to CAPA Lifecycle Simulation,https://www.youtube.com/watch?v=jIEbLMx4QIE,"Experience a full-scale quality operation with this simulation of the entire lifecycle from deviation detection to CAPA implementation. This video walks you through each step—identifying a deviation, investigating the root cause, drafting CAPA, and ensuring follow-up—offering practical insights for managing quality events efficiently. Ideal for quality assurance professionals and teams!",1
course_1,ch_1_01,les_1_01_09,topic_1_01_09_1,The War Game – Integrated QA/QC Crisis Assignment,https://www.youtube.com/watch?v=qBimzO6lthA,"Step into “The War Game” with an integrated QA/QC crisis assignment simulation. This video challenges you to handle real-world quality assurance and quality control emergencies, coordinating rapid responses, investigations, and solutions. Build teamwork, sharpen decision-making, and prepare for any QA/QC crisis!",1
course_1,ch_1_01,les_1_01_10,topic_1_01_10_1,Entering the Battlefield – QMS Basics & SOP Gap Review,https://www.youtube.com/watch?v=rAfeJBhGwYQ,"Unlock the essentials of Quality Management Systems (QMS) and discover how to identify and fix SOP gaps. This video provides quick, practical insights to boost your organization’s quality and compliance. Perfect for beginners and quality professionals!",1
