courseId,chapterId,lessonId,topicId,questionId,question,options,correct
course_1,ch_1_01,les_1_01_01,topic_1_01_01_01,quiz_1_01_01_1,What are the four critical elements that a Quality Management System (QMS) coordinates in an organization?,"A) Planning, execution, monitoring, and reporting. |
B) Quality standards, procedures, roles, and corrective actions. |
C) Documentation, training, auditing, and compliance. |
D) Policies, processes, people, and performance.",B
course_1,ch_1_01,les_1_01_01,topic_1_01_01_01,quiz_1_01_01_2,"In the hospital analogy, what does operating without QMS resemble?","A) A well-organized military unit | 
B) A disciplined army with clear command structure | 
C) A military unit without command structure | 
D) A strategic command center",C
course_1,ch_1_01,les_1_01_01,topic_1_01_01_01,quiz_1_01_01_3,"What is the primary difference between SOPs (Standard Operating Procedures) and Work Instructions in a QMS framework?
","A) SOPs are more important than Work Instructions |
B) SOPs are manuals; Work Instructions are step-by-step guides |
C) Work Instructions are strategic; SOPs are tactical |
D) There is no difference between them.",B
course_1,ch_1_01,les_1_01_01,topic_1_01_01_01,quiz_1_01_01_4,What are the three systematic steps involved in SOP gap analysis?,"A) Plan, implement, and review |
B) Identify, analyze, and document |
C) Compare, find gaps, and update |
D) Audit, correct, and prevent ",C
course_1,ch_1_01,les_1_01_01,topic_1_01_01_01,quiz_1_01_01_5,"According to the lesson, what question should quality professionals always ask themselves regarding documentation?","A) Is this documentation complete? | 
B) Would my documentation protect this organization in regulatory scrutiny? | 
C) Does this follow company policy? | 
D) Is this the most efficient process?",B
course_1,ch_1_01,les_1_01_02,topic_1_01_02_01,quiz_1_01_02_1,what are the three critical outcomes guaranteed by a sophisticated document control system?,"A) Cost reduction, efficiency improvement, and staff training |
B) Universal adherence to instructions, elimination of obsolete versions, and perpetual audit readiness |
C) Document creation, approval processes, and storage management |
D) Version tracking, change management, and regulatory compliance",B
course_1,ch_1_01,les_1_01_02,topic_1_01_02_01,quiz_1_01_02_2,What is the complete document lifecycle trajectory mentioned in the lesson?,"A) Create → Approve → Release → Archive |
B) Plan → Write → Review → Distribute |
C) Creation → Review → Approval → Release → Revision → Obsolescence |
D) Draft → Edit → Validate → Implement → Update",C
course_1,ch_1_01,les_1_01_02,topic_1_01_02_01,quiz_1_01_02_3,"In the document numbering format QA-SOP-012 v2.0, what does each component represent?","A) QA=Quality Audit, SOP=Standard Process, 012=Date code, v2.0=Second draft |
B) QA=Quality Assurance Department, SOP=Standard Operating Procedure, 012=Serial number, v2.0=Second major revision |
C) QA=Quality Analysis, SOP=System Operating Protocol, 012=Priority level, v2.0=Version 2.0 |
D) QA=Quick Access, SOP=Safety Operating Procedure, 012=Classification code, v2.0=Final version",B
course_1,ch_1_01,les_1_01_02,topic_1_01_02_01,quiz_1_01_02_4,What is the key difference between version changes and revision changes?,"A) Version changes are approved by management, revision changes are not |
B) Version changes are major procedural alterations, revision changes are minor editorial corrections |
C) Version changes cost more money than revision changes |
D) There is no difference between version and revision changes",B
course_1,ch_1_01,les_1_01_02,topic_1_01_02_01,quiz_1_01_02_5,What was the consequence of the pharmaceutical company's document control failure mentioned in the real-world example?,"A) Loss of one employee and minor production delays |
B) Equipment malfunction and temporary shutdown |
C) Two million tablets recalled, FDA warning letter, and millions in losses |
D) Customer complaints and quality audit failure",C
course_1,ch_1_01,les_1_01_03,topic_1_01_03_01,quiz_1_01_03_1,what is the definition of a deviation in quality assurance?,"A) A planned change to improve processes |
B) Any unexpected event that causes a process, document, or product to drift from approved standards, SOPs, or regulations |
C) A minor mistake that doesn't affect quality |
D) An intentional modification approved by management",B
course_1,ch_1_01,les_1_01_03,topic_1_01_03_01,quiz_1_01_03_2,What are the four critical organizational functions served by deviation detection?,"A) Cost reduction, time management, staff training, and compliance |
B) Documentation, investigation, reporting, and prevention |
C) Protects product quality, maintains regulatory compliance, provides cost containment, and preserves stakeholder trust |
D) Identification, classification, notification, and resolution",B
course_1,ch_1_01,les_1_01_03,topic_1_01_03_01,quiz_1_01_03_3,What is the correct sequence of the five-step rapid response protocol for deviation management?,"A) Notify,  Document evidence, Classify, Contain, Investigate |
B) Record instantly, Classify severity, Notify QA immediately, Contain impact, Document evidence |
C) Identify, Report, Analyze, Correct, Prevent |
D) Observe, Classify severity,Record, Escalate, Investigate, Close",B
course_1,ch_1_01,les_1_01_03,topic_1_01_03_01,quiz_1_01_03_4,"In the pharmaceutical case study, what was the root cause of the tablet batch having lower active ingredient content?","A) Wrong raw materials were used |
B) Temperature control failure |
C) Miscalibrated weighing balance |
D) Operator training deficiency",C
course_1,ch_1_01,les_1_01_03,topic_1_01_03_01,quiz_1_01_03_5,Which principle emphasizes that speed is more important than completeness in deviation reporting?,"A) ""If uncertain, report immediately"" |
B) ""Speed beats perfection – A quick, incomplete report is better than a perfect one submitted late"" |
C) ""Documentation is organizational protection"" |
D) ""Prevention is better than correction""",B
course_1,ch_1_01,les_1_01_04,topic_1_01_04_01,quiz_1_01_04_1,What is the fundamental difference between Root Cause Analysis (RCA) and treating symptoms?,"A) RCA quickly and efficiently solves problems at their source. |
B) RCA identifies and resolves the root cause, not just surface symptoms. |
C) RCA reduces long-term costs by preventing repeat issues. |
D) RCA uses fewer resources than ongoing symptom management.
",B
course_1,ch_1_01,les_1_01_04,topic_1_01_04_01,quiz_1_01_04_2,"In the Five Whys technique example, what was identified as the root cause of the machine stoppage?","A) Fuse failure |
B) Electrical overload |
C) Motor maintenance issues |
D) Absence of systematic maintenance scheduling",D
course_1,ch_1_01,les_1_01_04,topic_1_01_04_01,quiz_1_01_04_3,What are the six sequential phases of the CAPA workflow?,"A) Identify, Analyze, Plan, Implement, Monitor, Close |
B) Identify problem, Investigate, Plan action, Implement, Verify, Document |
C) Detect issue, Investigate, Correct, Prevent, Verify, Record |
D) Define, Measure, Analyze, Improve, Control, Document",B
course_1,ch_1_01,les_1_01_04,topic_1_01_04_01,quiz_1_01_04_4,What is the key difference between Corrective Action and Preventive Action?,"A) Corrective Action is more expensive than Preventive Action |
B) Corrective Action fixes current issues, Preventive Action stops future recurrence |
C) Corrective Action is required, Preventive Action is optional |
D) Corrective Action involves management, Preventive Action involves operators",B
course_1,ch_1_01,les_1_01_04,topic_1_01_04_01,quiz_1_01_04_5,"In the tablet dissolution testing case study, what were the corrective and preventive actions taken?","A) Corrective: Replace equipment; Preventive: Train more staff |
B) Corrective: Operator retraining and monitoring; Preventive: Automated timers and alarms |
C) Corrective: Change SOPs; Preventive: Hire new operators |
D) Corrective: Stop production; Preventive: Buy new equipment",B
course_1,ch_1_01,les_1_01_05,topic_1_01_05_01,quiz_1_01_05_1,What are the three strategic functions served by internal audits?,"A) Identifying opportunities for cost reduction, improving operational efficiency, and evaluating staff performance effectiveness |
B) Providing early warning systems for risks, verifying performance against objectives, and facilitating continuous improvement initiatives |
C) Conducting detailed documentation reviews, observing processes for accuracy, and preparing structured reporting of findings |
D) Checking compliance with standards, delivering relevant training when required, and supporting structured problem-solving efforts",B
course_1,ch_1_01,les_1_01_05,topic_1_01_05_01,quiz_1_01_05_2,What are the three distinct categories of internal audits?,"A) Routine, special, and regulatory audits |
B) System audits, process audits, and product audits |
C) Document, personnel, and equipment audits |
D) Compliance, quality, and safety audits",B
course_1,ch_1_01,les_1_01_05,topic_1_01_05_01,quiz_1_01_05_3,"
When discovering missing calibration logs for temperature-controlled equipment, what is the proper investigative approach according to the lesson?","A) Record that the logs are missing, acknowledge the gap, and then proceed without further checks |
B) Check systematically: Was monitoring done, is integrity at risk, and who holds accountability? |
C) Assume the equipment continues to function correctly, without additional verification or follow-up |
D) Report the issue only in cases where other related problems are also identified ",B
course_1,ch_1_01,les_1_01_05,topic_1_01_05_01,quiz_1_01_05_4,What are the four critical areas of focus in document inspection?,"A) Content, format, distribution, and storage |
B) Creation, review, approval, and implementation |
C) Completeness, legibility, traceability, and version control |
D) Accuracy, timeliness, accessibility, and security",C
course_1,ch_1_01,les_1_01_05,topic_1_01_05_01,quiz_1_01_05_5,"In the hospital laboratory case study, what three systematic responses were implemented after discovering the missing temperature logs?","A) Implementation of CAPA, retraining staff on deviation reporting, and installing a backup thermometer|
B) Replacement of faulty equipment, revision of existing policies, and delivery of targeted staff training |
C) Upgrading systems, adjusting work schedules, and performing vendor performance evaluations |
D) Issuing written warnings, conducting process reviews, and formally notifying management",A
course_1,ch_1_01,les_1_01_06,topic_1_01_06_01,quiz_1_01_06_1,What is the definition of an Out-of-Specification (OOS) result?,"A) A test outcome that indicates an unusual or unexpected trend developing over time |
B) An analytical result that falls outside the officially defined acceptance specifications or criteria |
C) A reported value that demands immediate retesting to confirm its accuracy |
D) A measurement that shows a noticeable difference compared with the prior result",B
course_1,ch_1_01,les_1_01_06,topic_1_01_06_01,quiz_1_01_06_2,How does an Out-of-Trend (OOT) result differ from an Out-of-Specification (OOS) result?,"A) OOT findings are considered more serious than OOS deviations |
B) OOT stays within limits but shows unusual trend shifts, while OOS falls fully outside specification criteria |
C) OOT must be acted on immediately, whereas OOS issues can be delayed |
D) No meaningful difference exists between OOT and OOS outcomes",B
course_1,ch_1_01,les_1_01_06,topic_1_01_06_01,quiz_1_01_06_3,What are the six sequential steps of first-line investigation protocol?,"A) Analyze the issue, document findings, report deviations, investigate cause, apply corrections, and plan prevention |
B) Quarantine material, verify data, check calibration, interview analyst, confirm reagent status, and review documentation |
C) Identify the problem, isolate the source, investigate thoroughly, implement actions, verify outcomes, and close record |
D) Stop the process, look for errors, listen to staff, analyze details, take action, and record results",B
course_1,ch_1_01,les_1_01_06,topic_1_01_06_01,quiz_1_01_06_4,"In the capsule dissolution testing case study, what was identified as the root cause of the failure?","A) Analyst error in following SOP |
B) Instrument calibration problems |
C) Omitted blending step during manufacturing |
D) Contaminated reagents",C
course_1,ch_1_01,les_1_01_06,topic_1_01_06_01,quiz_1_01_06_5,"According to the lesson, what is the professional quality mindset approach to unusual analytical results?","A) Investigate only if the result is clearly wrong |
B) Wait to see if the pattern continues before acting |
C) Focus on whether the result meets specifications |
D) Treat every unusual result as a potential patient safety threat",D
course_1,ch_1_01,les_1_01_07,topic_1_01_07_01,quiz_1_01_07_1,"What does the acronym ALCOA stand for, and what is each component's meaning?","A) Accurate, Legal, Complete, Original, Available |
B) Attributable, Legible, Contemporaneous, Original, Accurate |
C) Accessible, Logical, Consistent, Objective, Authentic |
D) Authorized, Listed, Controlled, Official, Auditable",B
course_1,ch_1_01,les_1_01_07,topic_1_01_07_01,quiz_1_01_07_2,What are the five critical areas of focus in systematic data integrity auditing?,"A) Planning activities, executing tasks, documenting results, reviewing findings, and granting approvals |
B) Verifying metadata, matching source data, reviewing change controls, assessing security, and confirming archival integrity |
C) Creating data, storing information, retrieving records, analyzing content, and disposing of materials |
D) Managing input, handling processing, producing output, gathering feedback, and applying control measures",B
course_1,ch_1_01,les_1_01_07,topic_1_01_07_01,quiz_1_01_07_3,"What are the four additional pillars represented by the ""+"" in ALCOA+?","A) Protected, Permanent, Proven, Professional |
B) Complete, Consistent, Enduring, Available |
C) Controlled, Certified, Electronic, Archived |
D) Validated, Verified, Visible, Valuable",B
course_1,ch_1_01,les_1_01_07,topic_1_01_07_01,quiz_1_01_07_4,"According to the lesson, what constitutes ""Contemporaneous"" data recording?","A) Data recorded within 24 hours of the activity |
B) Data recorded at the end of each shift |
C) Data recorded simultaneously with operational activities, not hours afterward |
D) Data recorded whenever convenient for the analyst",C
course_1,ch_1_01,les_1_01_07,topic_1_01_07_01,quiz_1_01_07_5,"How is backdating of results typically detected during audits, and what are the consequences?","A) Identified by statistical analysis methods, leading mainly to regulatory warning letters |
B) Revealed through employee self-reporting, leading to follow-up sessions and additional staff training |
C) Spotted by trend or pattern recognition techniques, resulting primarily in process improvement steps |
D) Detected through mismatched audit trail timestamps, causing data invalidation and mandatory retesting",D
