courseId,chapterId,lessonId,topicId,questionId,question,options,correct
course_1,101,les_1_1,topic_1_1_1,quiz_1_1_1_1,What are the four critical elements that a Quality Management System (QMS) coordinates in an organization?,"A) Planning, execution, monitoring, and reporting. |
B) Quality standards, procedures, roles, and corrective actions. |
C) Documentation, training, auditing, and compliance. |
D) Policies, processes, people, and performance.",B
course_1,101,les_1_1,topic_1_1_1,quiz_1_1_1_2,"In the hospital analogy, what does operating without QMS resemble?","A) A well-organized military unit | 
B) A disciplined army with clear command structure | 
C) A military unit without command structure | 
D) A strategic command center",C
course_1,101,les_1_1,topic_1_1_1,quiz_1_1_1_3,"What is the primary difference between SOPs (Standard Operating Procedures) and Work Instructions in a QMS framework?
","A) SOPs are more important than Work Instructions |
B) SOPs are manuals; Work Instructions are step-by-step guides |
C) Work Instructions are strategic; SOPs are tactical |
D) There is no difference between them.",B
course_1,101,les_1_1,topic_1_1_1,quiz_1_1_1_4,What are the three systematic steps involved in SOP gap analysis?,"A) Plan, implement, and review |
B) Identify, analyze, and document |
C) Compare, find gaps, and update |
D) Audit, correct, and prevent ",C
course_1,101,les_1_1,topic_1_1_1,quiz_1_1_1_5,"According to the lesson, what question should quality professionals always ask themselves regarding documentation?","A) Is this documentation complete? | 
B) Would my documentation protect this organization in regulatory scrutiny? | 
C) Does this follow company policy? | 
D) Is this the most efficient process?",B
course_1,101,les_1_2,topic_1_2_1,quiz_1_2_1_1,what are the three critical outcomes guaranteed by a sophisticated document control system?,"A) Cost reduction, efficiency improvement, and staff training |
B) Universal adherence to instructions, elimination of obsolete versions, and perpetual audit readiness |
C) Document creation, approval processes, and storage management |
D) Version tracking, change management, and regulatory compliance",B
course_1,101,les_1_2,topic_1_2_1,quiz_1_2_1_2,What is the complete document lifecycle trajectory mentioned in the lesson?,"A) Create → Approve → Release → Archive |
B) Plan → Write → Review → Distribute |
C) Creation → Review → Approval → Release → Revision → Obsolescence |
D) Draft → Edit → Validate → Implement → Update",C
course_1,101,les_1_2,topic_1_2_1,quiz_1_2_1_3,"In the document numbering format QA-SOP-012 v2.0, what does each component represent?","A) QA=Quality Audit, SOP=Standard Process, 012=Date code, v2.0=Second draft |
B) QA=Quality Assurance Department, SOP=Standard Operating Procedure, 012=Serial number, v2.0=Second major revision |
C) QA=Quality Analysis, SOP=System Operating Protocol, 012=Priority level, v2.0=Version 2.0 |
D) QA=Quick Access, SOP=Safety Operating Procedure, 012=Classification code, v2.0=Final version",B
course_1,101,les_1_2,topic_1_2_1,quiz_1_2_1_4,What is the key difference between version changes and revision changes?,"A) Version changes are approved by management, revision changes are not |
B) Version changes are major procedural alterations, revision changes are minor editorial corrections |
C) Version changes cost more money than revision changes |
D) There is no difference between version and revision changes",B
course_1,101,les_1_2,topic_1_2_1,quiz_1_2_1_5,What was the consequence of the pharmaceutical company's document control failure mentioned in the real-world example?,"A) Loss of one employee and minor production delays |
B) Equipment malfunction and temporary shutdown |
C) Two million tablets recalled, FDA warning letter, and millions in losses |
D) Customer complaints and quality audit failure",C
course_1,101,les_1_3,topic_1_3_1,quiz_1_3_1_1,what is the definition of a deviation in quality assurance?,"A) A planned change to improve processes |
B) Any unexpected event that causes a process, document, or product to drift from approved standards, SOPs, or regulations |
C) A minor mistake that doesn't affect quality |
D) An intentional modification approved by management",B
course_1,101,les_1_3,topic_1_3_1,quiz_1_3_1_2,What are the four critical organizational functions served by deviation detection?,"A) Cost reduction, time management, staff training, and compliance |
B) Documentation, investigation, reporting, and prevention |
C) Protects product quality, maintains regulatory compliance, provides cost containment, and preserves stakeholder trust |
D) Identification, classification, notification, and resolution",B
course_1,101,les_1_3,topic_1_3_1,quiz_1_3_1_3,What is the correct sequence of the five-step rapid response protocol for deviation management?,"A) Notify,  Document evidence, Classify, Contain, Investigate |
B) Record instantly, Classify severity, Notify QA immediately, Contain impact, Document evidence |
C) Identify, Report, Analyze, Correct, Prevent |
D) Observe, Classify severity,Record, Escalate, Investigate, Close",B
course_1,101,les_1_3,topic_1_3_1,quiz_1_3_1_4,"In the pharmaceutical case study, what was the root cause of the tablet batch having lower active ingredient content?","A) Wrong raw materials were used |
B) Temperature control failure |
C) Miscalibrated weighing balance |
D) Operator training deficiency",C
course_1,101,les_1_3,topic_1_3_1,quiz_1_3_1_5,Which principle emphasizes that speed is more important than completeness in deviation reporting?,"A) ""If uncertain, report immediately"" |
B) ""Speed beats perfection – A quick, incomplete report is better than a perfect one submitted late"" |
C) ""Documentation is organizational protection"" |
D) ""Prevention is better than correction""",B
course_1,101,les_1_4,topic_1_4_1,quiz_1_4_1_1,What is the fundamental difference between Root Cause Analysis (RCA) and treating symptoms?,"A) RCA quickly and efficiently solves problems at their source. |
B) RCA identifies and resolves the root cause, not just surface symptoms. |
C) RCA reduces long-term costs by preventing repeat issues. |
D) RCA uses fewer resources than ongoing symptom management.
",B
course_1,101,les_1_4,topic_1_4_1,quiz_1_4_1_2,"In the Five Whys technique example, what was identified as the root cause of the machine stoppage?","A) Fuse failure |
B) Electrical overload |
C) Motor maintenance issues |
D) Absence of systematic maintenance scheduling",D
course_1,101,les_1_4,topic_1_4_1,quiz_1_4_1_3,What are the six sequential phases of the CAPA workflow?,"A) Identify, Analyze, Plan, Implement, Monitor, Close |
B) Identify problem, Investigate, Plan action, Implement, Verify, Document |
C) Detect issue, Investigate, Correct, Prevent, Verify, Record |
D) Define, Measure, Analyze, Improve, Control, Document",B
course_1,101,les_1_4,topic_1_4_1,quiz_1_4_1_4,What is the key difference between Corrective Action and Preventive Action?,"A) Corrective Action is more expensive than Preventive Action |
B) Corrective Action fixes current issues, Preventive Action stops future recurrence |
C) Corrective Action is required, Preventive Action is optional |
D) Corrective Action involves management, Preventive Action involves operators",B
